track;balance
12600015;145
12700016;145
12800016;145
12900016;145
13000016;145
13100016;145
13200016;145
13300016;145
13400016;145
13500016;145
13600016;145
13700016;145
13800016;145
13900016;145
14000016;145
14100016;145
14200016;145
14300016;145
14400016;145
14500016;145
14600016;145
14700016;145
14800016;145
14900016;145
15000016;145
15100016;145
15200016;145
15300016;145
15400016;145
15500016;145
15600016;145
15700016;145
15800016;145
15900016;145
16000016;145
16100016;145
16200016;145
16300016;145
16400016;145
16500016;145
16600016;145
16700016;145
16800016;145
16900016;145
17000016;145
17100016;145
17200016;145
17300016;145
17400016;145
17500016;145
17600016;145
17700016;145
17800016;145
17900016;145
18000016;145
18100016;145
18200016;145
18300016;145
18400016;145
18500016;145
18600016;145
18700016;145
18800016;145
18900016;145
19000016;145
19100016;145
19200016;145
19300016;145
19400016;145
19500016;145
19600016;145
19700016;145
19800016;145
19900016;145
20000016;145
20100016;145
20200016;145
20300016;145
20400016;145
20500016;145
20600016;145
20700016;145
20800016;145
20900016;145
21000016;145
21100016;145
21200016;145
21300016;145
21400016;145
21500016;145
21600016;145
21700016;145
21800016;145
21900016;145
22000016;145
22100016;145
22200016;145
22300016;145
22400016;145
22500016;145
22600016;145
22700016;145
22800016;145
22900016;145
23000016;145
23100016;145
23200016;145
23300016;145
23400016;145
23500016;145
23600016;145
23700016;145
23800016;145
23900016;145
24000016;145
24100016;145
24200016;145
24300016;145
24400016;145
24500016;145
24600016;145
24700016;145
24800016;145
24900016;145
25000016;145
25100016;145
25200016;145
25300016;145
25400016;145
25500016;145
25600016;145
25700016;145
25800016;145
25900016;145
26000016;145
26100016;145
26200016;145
26300016;145
26400016;145
26500016;145
26600016;145
26700016;145
26800016;145
26900016;145
27000016;145
27100016;145
27200016;145
27300016;145
27400016;145
27500016;145
27600016;145
27700016;145
27800016;145
27900016;145
28000016;145
28100016;145
28200016;145
28300016;145
28400016;145
28500016;145
28600016;145
28700016;145
28800016;145
28900016;145
29000016;145
29100016;145
29200016;145
29300016;145
29400016;145
29500016;145
29600016;145
29700016;145
29800016;145
29900016;145
30000016;145
30100016;145
30200016;145
30300016;145
30400016;145
30500016;145
30600016;145
30700016;145
30800016;145
30900016;145
31000016;145
31100016;145
31200016;145
31300016;145
31400016;145
31500016;145
31600016;145
31700016;145
31800016;145
31900016;145
32000016;145
32100016;145
32200016;145
32300016;145
32400016;145
32500016;145
32600016;145
32700016;145
32800016;145
32900016;145
33000016;145
33100016;145
33200016;145
33300016;145
33400016;145
33500016;145
33600016;145
33700016;145
33800016;145
33900016;145
34000016;145
34100016;145
34200016;145
34300016;145
34400016;145
34500016;145
34600016;145
34700016;145
34800016;145
34900016;145
35000016;145
35100016;145
35200016;145
35300016;145
35400016;145
35500016;145
35600016;145
35700016;145
35800016;145
35900016;145
36000016;145
36100016;145
36200016;145
36300016;145
36400016;145
36500016;145
36600016;145
36700016;145
36800016;145
36900016;145
37000016;145
37100016;145
37200016;145
37300016;145
37400016;145
37500016;145
37600016;145
37700016;145
37800016;145
37900016;145
38000016;145
38100016;145
38200016;145
38300016;145
38400016;145
38500016;145
38600016;145
38700016;145
38800016;145
38900016;145
39000016;145
39100016;145
39200016;145
39300016;145
39400016;145
39500016;145
39600016;145
39700016;145
39800016;145
39900016;145
40000016;145
40100016;145
40200016;145
40300016;145
40400016;145
40500016;145
40600016;145
40700016;145
40800016;145
40900016;145
41000016;145
41100016;145
41200016;145
41300016;145
41400016;145
41500016;145
41600016;145
41700016;145
41800016;145
41900016;145
42000016;145
42100016;145
42200016;145
42300016;145
42400016;145
42500016;145
42600016;145
42700016;145
42800016;145
42900016;145
43000016;145
43100016;145
43200016;145
43300016;145
43400016;145
43500016;145
43600016;145
43700016;145
43800016;145
43900016;145
44000016;145
44100016;145
44200016;145
44300016;145
44400016;145
44500016;145
44600016;145
44700016;145
44800016;145
44900016;145
45000016;145
45100016;145
45200016;145
45300016;145
45400016;145
45500016;145
45600016;145
45700016;145
45800016;145
45900016;145
46000016;145
46100016;145
46200016;145
46300016;145
46400016;145
46500016;145
46600016;145
46700016;145
46800016;145
46900016;145
47000016;145
47100016;145
47200016;145
47300016;145
47400016;145
47500016;145
47600016;145
47700016;145
47800016;145
47900016;145
48000016;145
48100016;145
48200016;145
48300016;145
48400016;145
48500016;145
48600016;145
48700016;145
48800016;145
48900016;145
49000016;145
49100016;145
49200016;145
49300016;145
49400016;145
49500016;145
49600016;145
49700016;145
49800016;145
49900016;145
50000016;145
50100016;145
50200016;145
50300016;145
50400016;145
50500016;145
50600016;145
50700016;145
50800016;145
50900016;145
51000016;145
51100016;145
51200016;145
51300016;145
51400016;145
51500016;145
51600016;145
51700016;145
51800016;145
51900016;145
52000016;145
52100016;145
52200016;145
52300016;145
52400016;145
52500016;145
52600016;145
52700016;145
52800016;145
52900016;145
53000016;145
53100016;145
53200016;145
53300016;145
53400016;145
53500016;145
53600016;145
53700016;145
53800016;145
53900016;145
54000016;145
54100016;145
54200016;145
54300016;145
54400016;145
54500016;145
54600016;145
54700016;145
54800016;145
54900016;145
55000016;145
55100016;145
55200016;145
55300016;145
55400016;145
55500016;145
55600016;145
55700016;145
55800016;145
55900016;145
56000016;145
56100016;145
56200016;145
56300016;145
56400016;145
56500016;145
56600016;145
56700016;145
56800016;145
56900016;145
57000016;145
57100016;145
57200016;145
57300016;145
57400016;145
57500016;145
57600016;145
57700016;145
57800016;145
57900016;145
58000016;145
58100016;145
58200016;145
58300016;145
58400016;145
58500016;145
58600016;145
58700016;145
58800016;145
58900016;145
59000016;145
59100016;145
59200016;145
59300016;145
59400016;145
59500016;145
59600016;145
59700016;145
59800016;145
59900016;145
60000016;145
60100016;145
60200016;145
60300016;145
60400016;145
60500016;145
60600016;145
60700016;145
60800016;145
60900016;145
61000016;145
61100016;145
61200016;145
61300016;145
61400016;145
61500016;145
61600016;145
61700016;145
61800016;145
61900016;145
62000016;145
62100016;145
62200016;145
62300016;145
62400016;145
62500016;145
62600016;145
62700016;145
62800016;145
62900016;145
63000016;145
63100016;145
63200016;145
63300016;145
63400016;145
63500016;145
63600016;145
63700016;145
63800016;145
63900016;145
64000016;145
64100016;145
64200016;145
64300016;145
64400016;145
64500016;145
64600016;145
64700016;145
64800016;145
64900016;145
65000016;145
65100016;145
65200016;145
65300016;145
65400016;145
65500016;145
65600016;145
65700016;145
65800016;145
